Street Address,lat,lon
300-302 Eustis St.,42.3307881,-71.0806062
173 Humboldt Ave.,42.3140013,-71.0891684
28 Mt. Pleasant Ave.,42.3273537,-71.0792371
430-436 Dudley St.,42.3283659,-71.0787201
23-25 Alaska St.,42.3210429,-71.0786455
1 East Lenox St.,42.33493092193854,-71.07870973255226
68 Hampden St.,42.3310282,-71.0749295
8 Farnham St.,42.3306849,-71.0746188
74 Hampden St.,42.331,-71.0749297
18 Parker Hill Ave.,42.33279299432588,-71.10951739207779
131 Zeigler St.,42.328903,-71.0796681
434 Harrison Ave.,42.3431623,-71.064503
60 Paul Sullivan Way,42.34289994580739,-71.06397127673249
414-416 Harrison Ave.,42.3278455,-71.0831378
363 Albany St.,42.3306863,-71.0778208
40 East Springfield St.,42.33646078457258,-71.0750140613883
140 Dudley St.,42.3287852,-71.0839082
109 Mount Pleasant,42.3249232,-71.0772475
698 Massachusetts Ave.,42.3322815,-71.0717184
278 Blue Hill Ave.,42.3148452,-71.0784531
1 Fenwood Rd.,42.334150261815154,-71.10573123255227
237 Walnut Ave.,42.3189029,-71.091034
570 Warren St.,42.3123774,-71.0827374
123 Crawford St.,42.3149162,-71.0914991
11 Westminster St.,42.33583126666176,-71.08311519022445
12 Westminster St.,42.335865359091336,-71.0828315306991
42 Hammond St.,42.33569828914005,-71.08274327302678
60 Hammond St.,42.33591035535388,-71.08313030371599
1057-1059 Tremont St.,42.3315558,-71.0942354
994-996 Tremont St.,42.3315558,-71.0942354
24 Cunard St.,42.336711836701205,-71.08622904604358
33 Cunard St.,42.33687367830131,-71.08613706138829
1171 Washington St.,42.3185013,-71.0956206
35 Northampton St.,42.334179010504734,-71.07509223255228
1771 Washington St.,42.3185013,-71.0956206
523 Massachusetts Ave.,42.3265385,-71.0666228
267 W. Third St,42.3380304,-71.0479312
W. Third and Athens Sts.,42.33817511307399,-71.04808827302662
374 Dorchester St.,42.3300203,-71.0557239
675 E. Fourth St.,42.3345126,-71.0378122
566 Massachusetts Ave.,42.337899,-71.0782831
300 Shawmut Ave.,42.3423511,-71.0699044
40 Upton St.,42.34261,-71.0727225
20 Rutland Sq.,42.3414887,-71.0781483
40 Berkeley St.,42.3458854,-71.070854
19 Willers St.,42.2594625,-71.150448
16 Carol Circle,42.2686884,-71.1513732
41 New Chardon St.,42.3633642,-71.0591722
407 Shawmut,42.3404976,-71.0737456
39 Kingston,42.3520316,-71.0593274
