Ward and Precinct (Updated 2022),Total Population,White alone,Black or African American,Hispanic or Latino (of any Race),Asian,American Indian and Alaska Native,Native Hawaiian and Other Pacific Islander,Some Other Race,Two or More Non-White Races,"Total Population,Age 18 and over","White alone, Age 18 and over","Black or African American, Age 18 and over","Hispanic or Latino (of any Race), Age 18 and over","Asian, Age 18 and over","American Indian and Alaska Native, Age 18 and over","Native Hawaiian and Other Pacific Islander, Age 18 and over","Some Other Race, Age 18 and over","Two or More Non-White Races, Age 18 and over",Total Group Quarters Population,Correctional Facilities for Adults,Juvenile Facilities,Nursing Facilities,Other Institutional Facilities,College / University Student Housing,Military Quarters,Other Noninstitutional Facilities,Total Housing Units,Occupied Housing Units,Vacant Housing Units
2114,"1,682","1,161",64,132,269,22,2,27,5,"1,622","1,135",62,122,253,18,2,25,5,10,0,0,0,0,0,0,10,919,883,36
2115,"2,000","1,354",77,153,364,12,0,35,5,"1,921","1,315",72,140,350,12,0,27,5,0,0,0,0,0,0,0,0,"1,218","1,172",46
2116,"6,175","4,607",392,471,563,42,20,63,17,"5,977","4,464",383,456,549,38,20,55,12,"3,447",0,0,0,0,"3,438",0,9,"1,744","1,633",111
2201,"4,222","2,121",273,642,983,16,6,122,59,"3,848","2,011",250,529,905,11,5,92,45,475,0,0,0,0,475,0,0,"1,910","1,594",316
2202,"4,033","1,881",331,660,945,14,6,151,45,"3,516","1,722",238,521,853,13,6,130,33,32,0,0,0,0,0,0,32,"1,697","1,632",65
2203,"3,034","2,055",80,338,444,9,2,82,24,"2,703","1,875",69,264,402,8,2,62,21,20,0,0,0,0,0,0,20,"1,281","1,232",49
2204,"2,067","1,383",97,172,341,7,1,49,17,"1,888","1,302",88,143,294,7,1,39,14,8,0,0,0,0,0,0,8,924,874,50
2205,"2,864","1,320",215,417,695,14,0,173,30,"2,401","1,171",154,299,610,12,0,136,19,17,0,7,0,0,0,0,10,"1,303","1,219",84
2206,"1,862","1,134",45,215,349,5,1,92,21,"1,683","1,060",38,167,321,5,1,72,19,0,0,0,0,0,0,0,0,826,790,36
2207,"2,455","1,700",97,282,237,13,0,109,17,"2,195","1,565",75,211,226,13,0,90,15,45,0,6,0,0,0,0,39,"1,016",970,46
2208,"2,191","1,377",87,154,504,13,2,44,10,"2,039","1,303",87,135,454,13,2,36,9,126,0,0,0,0,55,0,71,974,919,55
2209,"2,347","1,636",68,120,452,3,1,60,7,"2,015","1,391",65,114,393,3,1,42,6,31,0,0,0,0,0,0,31,"1,071","1,015",56
2210,"2,279","1,633",103,201,250,8,0,69,15,"2,087","1,540",90,167,223,4,0,50,13,12,0,0,0,0,0,0,12,"1,021",985,36
2211,"1,663","1,096",63,144,271,7,1,65,16,"1,473",995,59,123,222,7,1,51,15,1,0,0,0,0,0,0,1,623,598,25
2212,"2,206",926,205,576,345,3,4,134,13,"1,780",833,160,387,286,3,3,101,7,9,0,0,0,0,0,0,9,822,791,31
2213,"1,513","1,138",54,140,150,2,0,21,8,"1,390","1,065",43,112,141,2,0,20,7,99,0,0,99,0,0,0,0,597,586,11
