Ward and Precinct (Updated 2022),Total Population,White alone,Black or African American,Hispanic or Latino (of any Race),Asian,American Indian and Alaska Native,Native Hawaiian and Other Pacific Islander,Some Other Race,Two or More Non-White Races,"Total Population,Age 18 and over","White alone, Age 18 and over","Black or African American, Age 18 and over","Hispanic or Latino (of any Race), Age 18 and over","Asian, Age 18 and over","American Indian and Alaska Native, Age 18 and over","Native Hawaiian and Other Pacific Islander, Age 18 and over","Some Other Race, Age 18 and over","Two or More Non-White Races, Age 18 and over",Total Group Quarters Population,Correctional Facilities for Adults,Juvenile Facilities,Nursing Facilities,Other Institutional Facilities,College / University Student Housing,Military Quarters,Other Noninstitutional Facilities,Total Housing Units,Occupied Housing Units,Vacant Housing Units
1413,"1,765",23,"1,198",392,27,3,0,49,73,"1,273",20,900,249,19,1,0,29,55,0,0,0,0,0,0,0,0,627,594,33
1414,"2,186",41,"1,547",485,3,6,1,21,82,"1,604",23,"1,211",285,0,5,1,17,62,58,0,47,0,0,0,0,11,776,712,64
1501,"2,737",120,994,975,67,6,2,198,375,"2,053",100,803,660,55,5,2,148,280,36,0,4,0,0,0,0,32,"1,003",931,72
1502,"2,036",97,912,474,87,17,0,119,330,"1,517",85,700,306,61,14,0,92,259,0,0,0,0,0,0,0,0,730,639,91
1503,"1,307",133,511,292,54,4,0,94,219,995,129,388,185,50,3,0,69,171,22,0,0,0,0,0,0,22,509,476,33
1504,"3,237",283,892,632,579,10,0,295,546,"2,473",232,716,433,453,9,0,234,396,28,0,16,0,0,0,0,12,"1,143","1,070",73
1505,"2,439",120,"1,070",658,145,14,0,127,305,"1,791",91,773,451,117,12,0,99,248,0,0,0,0,0,0,0,0,811,714,97
1506,"1,904",456,242,313,775,9,0,38,71,"1,556",435,194,226,612,8,0,24,57,12,0,0,9,0,0,0,3,766,711,55
1507,"1,987",160,880,494,73,4,2,107,267,"1,450",142,617,338,59,2,2,82,208,49,0,0,0,0,0,0,49,653,629,24
1508,"1,804",190,555,369,553,5,3,39,90,"1,376",169,398,285,421,5,3,30,65,61,0,27,10,0,0,0,24,643,591,52
1509,"1,895",255,474,364,520,8,1,88,185,"1,494",240,356,257,433,8,1,61,138,12,0,0,0,0,0,0,12,733,680,53
1601,"2,142",345,516,364,789,8,1,42,77,"1,711",301,416,273,632,4,1,31,53,35,0,0,0,0,0,0,35,823,757,66
