Precinct_ID,Total Population,White alone,Site_Count,Normalized_Sites,White_Pct
101,2340,1420,0.0,0.0,60.68376068376068
102,2603,994,0.0,0.0,38.18670764502497
103,5111,2287,0.0,0.0,44.74662492662884
104,3019,1113,0.0,0.0,36.86651209009606
105,3539,1124,0.0,0.0,31.76038428934727
106,3301,949,0.0,0.0,28.748863980611937
107,3331,938,0.0,0.0,28.15971179825878
108,3826,906,1.0,2.6136957658128592,23.680083638264506
109,2721,822,0.0,0.0,30.209481808158767
110,2496,560,0.0,0.0,22.435897435897438
111,2610,1140,0.0,0.0,43.67816091954023
112,2492,1154,0.0,0.0,46.30818619582664
113,3817,1610,0.0,0.0,42.17972229499607
114,1860,743,0.0,0.0,39.946236559139784
115,0,0,0.0,,
201,2922,2206,1.0,3.4223134839151266,75.49623545516769
202,2081,1756,0.0,0.0,84.38250840941855
203,2360,2051,0.0,0.0,86.90677966101696
204,2444,1945,1.0,4.091653027823241,79.58265139116203
205,2265,2061,0.0,0.0,90.99337748344371
206,1923,1708,0.0,0.0,88.81955278211129
207,1760,1273,0.0,0.0,72.32954545454545
208,3365,626,0.0,0.0,18.60326894502229
301,2439,2022,0.0,0.0,82.90282902829028
302,2715,2395,0.0,0.0,88.21362799263352
303,1803,1547,0.0,0.0,85.8014420410427
304,1908,1660,0.0,0.0,87.0020964360587
305,2255,1513,0.0,0.0,67.09534368070953
306,1844,1300,1.0,5.42299349240781,70.49891540130152
307,1886,1501,2.0,10.604453870625663,79.5864262990456
308,5588,2235,0.0,0.0,39.99642090193271
309,2166,1288,0.0,0.0,59.46445060018467
310,3284,2132,1.0,3.045066991473812,64.92082825822169
311,2222,1919,0.0,0.0,86.36363636363636
312,4461,2676,0.0,0.0,59.98655010087425
313,1713,1335,0.0,0.0,77.93345008756567
314,3214,951,0.0,0.0,29.58929682638457
315,2297,1433,1.0,4.3535045711797995,62.385720505006525
316,2767,1732,4.0,14.456089627755693,62.594868088182146
317,1803,1377,1.0,5.546311702717693,76.37271214642263
401,1781,1395,0.0,0.0,78.32678270634476
402,1964,1324,1.0,5.091649694501018,67.41344195519349
403,2527,1372,0.0,0.0,54.29362880886427
404,2360,1513,1.0,4.237288135593221,64.11016949152543
405,2938,1694,0.0,0.0,57.658270932607216
406,3390,2206,0.0,0.0,65.07374631268436
407,3179,1571,3.0,9.436929852154766,49.418055992450455
408,5832,3172,0.0,0.0,54.38957475994513
409,4863,2800,0.0,0.0,57.57762697923092
410,6094,3954,0.0,0.0,64.88349195930422
411,1242,726,0.0,0.0,58.454106280193244
412,2215,1132,0.0,0.0,51.106094808126414
501,4141,1880,0.0,0.0,45.39966191741126
502,2711,1446,0.0,0.0,53.3382515676872
503,2760,2313,0.0,0.0,83.80434782608695
504,1808,1311,0.0,0.0,72.51106194690266
505,1739,1526,0.0,0.0,87.75158136860264
506,2500,1905,0.0,0.0,76.2
507,2655,2168,1.0,3.766478342749529,81.6572504708098
508,2857,2224,0.0,0.0,77.84389219460974
509,2753,2196,0.0,0.0,79.76752633490737
510,5725,3333,0.0,0.0,58.21834061135371
511,1226,994,0.0,0.0,81.07667210440457
512,2774,1314,0.0,0.0,47.368421052631575
513,2110,1441,4.0,18.95734597156398,68.29383886255924
514,1593,1209,1.0,6.277463904582549,75.89453860640302
515,2440,1593,0.0,0.0,65.28688524590164
601,2686,1973,0.0,0.0,73.45495160089352
602,2240,1224,0.0,0.0,54.64285714285714
603,2611,1761,0.0,0.0,67.44542320949827
604,1469,1225,0.0,0.0,83.39006126616746
605,2098,1898,0.0,0.0,90.46711153479504
606,2194,2014,1.0,4.557885141294439,91.79580674567
607,2011,1833,0.0,0.0,91.14868224763799
608,2470,2295,0.0,0.0,92.91497975708502
609,2278,2127,0.0,0.0,93.37137840210711
610,2006,1661,2.0,9.970089730807576,82.80159521435692
611,2257,1797,0.0,0.0,79.6189632255206
612,3322,2518,0.0,0.0,75.79771222155328
701,1780,1646,0.0,0.0,92.47191011235955
702,2365,2167,0.0,0.0,91.62790697674419
703,2512,2307,0.0,0.0,91.83917197452229
704,2108,1689,0.0,0.0,80.12333965844402
705,2041,1522,0.0,0.0,74.57128858402744
706,2216,1187,1.0,4.512635379061372,53.56498194945848
707,2669,486,0.0,0.0,18.209067066316972
708,2151,1428,0.0,0.0,66.38772663877266
709,1796,1112,0.0,0.0,61.915367483296215
710,2414,333,1.0,4.142502071251036,13.79453189726595
801,2687,930,0.0,0.0,34.611090435429844
802,2199,1309,2.0,9.095043201455207,59.527057753524325
803,2939,151,2.0,6.805035726437564,5.137801973460361
804,2826,513,3.0,10.615711252653927,18.152866242038215
805,3091,212,5.0,16.175994823681656,6.858621805241022
806,1700,555,10.0,58.8235294117647,32.64705882352941
901,2698,930,0.0,0.0,34.46997776130467
902,2300,1203,1.0,4.3478260869565215,52.30434782608696
903,3288,308,5.0,15.206812652068127,9.367396593673966
904,2200,184,1.0,4.545454545454546,8.363636363636363
905,2272,434,0.0,0.0,19.102112676056336
906,2794,1276,2.0,7.158196134574087,45.66929133858268
907,4382,1681,3.0,6.846188954815154,38.36147877681424
1001,1562,346,0.0,0.0,22.151088348271447
1002,2742,867,0.0,0.0,31.61925601750547
1003,2314,1145,1.0,4.32152117545376,49.48141745894555
1004,3624,983,1.0,2.759381898454746,27.124724061810156
1005,2838,1601,0.0,0.0,56.41296687808316
1006,2137,547,1.0,4.679457182966776,25.59663079082826
1007,2843,389,0.0,0.0,13.682729511079843
1008,3329,1554,2.0,6.007810153199159,46.68068489035747
1009,2909,1594,0.0,0.0,54.7954623581987
1101,1501,561,0.0,0.0,37.37508327781479
1102,2476,389,0.0,0.0,15.710823909531502
1103,1979,146,2.0,10.10611419909045,7.377463365336029
1104,3311,823,1.0,3.020235578375113,24.856538810027182
1105,2732,715,1.0,3.6603221083455346,26.171303074670572
1106,1594,757,1.0,6.273525721455457,47.49058971141782
1107,2307,1064,1.0,4.334633723450368,46.12050281751192
1108,2796,1541,0.0,0.0,55.11444921316166
1109,1263,890,0.0,0.0,70.46714172604909
1110,1813,1118,1.0,5.515719801434088,61.665747380033096
1201,2742,236,1.0,3.6469730123997084,8.60685630926331
1202,3548,112,1.0,2.818489289740699,3.1567080045095826
1203,1480,110,0.0,0.0,7.4324324324324325
1204,2065,158,2.0,9.685230024213075,7.651331719128329
1205,1075,37,0.0,0.0,3.441860465116279
1206,1582,62,2.0,12.642225031605564,3.919089759797725
1207,4337,163,3.0,6.917223887479825,3.7583583121973714
1208,1602,75,3.0,18.726591760299627,4.681647940074907
1209,1639,58,0.0,0.0,3.5387431360585726
1301,2889,102,1.0,3.4614053305642094,3.5306334371754935
1302,962,40,2.0,20.79002079002079,4.158004158004158
1303,3949,1170,0.0,0.0,29.627753861737148
1304,1881,129,1.0,5.31632110579479,6.8580542264752795
1305,1708,290,2.0,11.7096018735363,16.978922716627633
1306,2097,672,2.0,9.537434430138292,32.04577968526466
1307,2200,1207,0.0,0.0,54.86363636363636
1308,2015,1078,3.0,14.88833746898263,53.49875930521092
1309,1981,811,0.0,0.0,40.93891973750631
1310,2422,1684,1.0,4.1288191577208915,69.52931461601982
1401,4953,131,1.0,2.018978396931153,2.6448616999798102
1402,4628,164,0.0,0.0,3.543647363872083
1403,2212,27,0.0,0.0,1.2206148282097649
1404,2677,130,2.0,7.4710496824803885,4.856182293612252
1405,2157,24,0.0,0.0,1.1126564673157162
1406,2038,56,4.0,19.62708537782139,2.747791952894995
1407,2132,69,4.0,18.76172607879925,3.23639774859287
1408,1828,105,1.0,5.470459518599562,5.743982494529541
1409,2428,45,0.0,0.0,1.8533772652388796
1410,2255,39,0.0,0.0,1.729490022172949
1411,2417,86,4.0,16.54944145635085,3.5581299131154323
1412,1309,32,0.0,0.0,2.4446142093200915
1413,1765,23,0.0,0.0,1.3031161473087818
1414,2186,41,0.0,0.0,1.8755718206770355
1501,2737,120,1.0,3.6536353671903545,4.384362440628426
1502,2036,97,0.0,0.0,4.764243614931238
1503,1307,133,1.0,7.651109410864575,10.175975516449885
1504,3237,283,1.0,3.089280197713933,8.74266295953043
1505,2439,120,0.0,0.0,4.920049200492005
1506,1904,456,3.0,15.756302521008404,23.949579831932773
1507,1987,160,2.0,10.065425264217414,8.05234021137393
1508,1804,190,0.0,0.0,10.532150776053214
1509,1895,255,2.0,10.554089709762533,13.456464379947231
1601,2142,345,1.0,4.6685340802987865,16.106442577030812
1602,1378,616,1.0,7.256894049346879,44.70246734397678
1603,2518,440,0.0,0.0,17.474185861795075
1604,2317,578,2.0,8.631851532153647,24.94605092792404
1605,2315,879,0.0,0.0,37.96976241900648
1606,3150,746,0.0,0.0,23.682539682539684
